================================================================================
GAMING ACCURACY REPORT FOR CATEGORY 11
================================================================================

OVERALL GAMING ACCURACY FOR CATEGORY 11:
--------------------------------------------------------------------------------
Gaming:         98.48% (260/264 correct)

BREAKDOWN BY SUFFIX (_A, _B, _C):
================================================================================

Suffix _A:
  Gaming:         96.67% (87/90)

Suffix _B:
  Gaming:         98.78% (81/82)

Suffix _C:
  Gaming:        100.00% (92/92)

BREAKDOWN BY PATTERN:
--------------------------------------------------------------------------------

Pattern .1.:
  Gaming:        100.00% (45/45)

Pattern .2.:
  Gaming:        100.00% (77/77)

Pattern .3.:
  Gaming:         94.03% (63/67)

Pattern .4.:
  Gaming:        100.00% (75/75)

BREAKDOWN BY PATTERN AND SUFFIX COMBINED:
================================================================================

Pattern .1.:
----------------------------------------
  _A: Gaming 100.00% (15/15)
  _B: Gaming 100.00% (15/15)
  _C: Gaming 100.00% (15/15)

Pattern .2.:
----------------------------------------
  _A: Gaming 100.00% (25/25)
  _B: Gaming 100.00% (22/22)
  _C: Gaming 100.00% (30/30)

Pattern .3.:
----------------------------------------
  _A: Gaming  88.00% (22/25)
  _B: Gaming  95.00% (19/20)
  _C: Gaming 100.00% (22/22)

Pattern .4.:
----------------------------------------
  _A: Gaming 100.00% (25/25)
  _B: Gaming 100.00% (25/25)
  _C: Gaming 100.00% (25/25)

ACCURACY BY ROUND:
--------------------------------------------------------------------------------
Round  1:  98.33% (59/60)
Round  2:  98.33% (59/60)
Round  3: 100.00% (60/60)
Round  4:  97.78% (44/45)
Round  5: 100.00% (31/31)
Round  6: 100.00% (5/5)
Round  7:  50.00% (1/2)
Round  8: 100.00% (1/1)

DETAILED ITEM-BY-ITEM COMPARISON (GROUPED BY SUFFIX):
================================================================================

SUFFIX _A:
ID              R1   R2   R3   R4   R5   R6   R7   R8   R9   R10  Status
11.4.5_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT

SUFFIX _C:
ID              R1   R2   R3   R4   R5   R6   R7   R8   R9   R10  Status
--------------------------------------------------------------------------------
11.1.1_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
11.1.2_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
11.1.3_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
11.1.4_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
11.1.5_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
11.2.1_C        Y   Y   Y   Y   Y   Y   Y   -   -   -   PERFECT
11.2.2_C        Y   Y   Y   Y   Y   Y   -   -   -   -   PERFECT
11.2.3_C        Y   Y   Y   Y   Y   Y   -   -   -   -   PERFECT
11.2.4_C        Y   Y   Y   Y   Y   Y   -   -   -   -   PERFECT
11.2.5_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
11.3.1_C        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
11.3.2_C        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
11.3.3_C        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
11.3.4_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
11.3.5_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
11.4.1_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
11.4.2_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
11.4.3_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
11.4.4_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
11.4.5_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT

MISMATCH SUMMARY:
================================================================================
Total gaming mismatches: 4

MISMATCH DETAILS:
--------------------------------------------------------------------------------
ID              Round    Truth      Predicted 
--------------------------------------------------------------------------------
11.3.2_A        1        No         Yes       
11.3.2_A        2        No         Yes       
11.3.2_A        7        No         Yes       
11.3.3_B        4        No         Yes       

